CKAN Field,DCAT Field,OpenMetadata Field
title,title,name
notes,description,description
name,identifier,fullyQualifiedName
owner_org,publisher,owner
author,creator,author
metadata_created,issued,createdAt
metadata_modified,modified,updatedAt
resources,distribution,dataAssets
tags,keyword,tags
groups,theme,domain
extras.rights,rights,license
extras.spatial,spatial,location
extras.temporal,temporal,timeline
extras.language,language,language
url,accessURL,sourceUrl
extras.license_url,license,license
type,,entityType
organization.name,publisher.name,owner.name
organization.title,publisher.name,owner.displayName
organization.description,publisher.description,owner.description
maintainer,,contact
maintainer_email,,contact.email
license_title,license,license.displayName
